id,fecha,modeloAuto,cantidad,precioUnitario,tarjeta
1,15/11/2007,Falcon,5,$8633.480469,4041597094534748
2,13/4/2011,Ivashnikov,5,$14556.519531,4017956030233
3,20/5/2008,Kingaby,5,$15371.929688,4050983253189
4,30/8/2014,Pisculli,5,$4929.990234,4649435396320
5,21/2/2019,Kingaby,1,$17888.009766,4041595431112830
6,6/8/2017,O' shea,5,$4739.830078,4017953005250025
7,7/1/2006,Mendoza,5,$14553.209961,4722638157007895
8,21/9/2014,Falcon,1,$9407.080078,4020869989644
9,28/5/2022,Jasiak,1,$9278.969727,4788305427466
10,21/2/2018,Pretswell,1,$14095.530273,4017951657514029
11,14/2/2021,Preskett,5,$14695.379883,4041597073206557
12,5/5/2001,Yve,3,$15208.200195,4017956706575343
13,1/6/2005,Laver,3,$20415.480469,4041373048629194
14,7/6/2022,Pavlenko,2,$13116.679688,4017959610586711
15,26/4/2015,Faircloth,2,$2619.389893,4041594300235640
16,18/3/2008,Simmens,3,$2415.929932,4017950500086284
17,2/5/2003,Capper,2,$17779.099609,4017954718507164
18,3/8/2016,Kebbell,2,$12320.379883,4041599153111
19,27/1/2020,Doy,3,$13732.089844,4017955530052115
20,25/7/2019,Falcon,2,$4138.270020,4041593531999
21,3/9/2002,Corder,1,$16242.250000,4321263359979331
22,22/1/2021,Crippill,1,$3713.280029,4017950058485458
23,5/1/2013,Viegas,2,$8011.209961,4041377526272
24,18/4/2008,Swinford,1,$5564.759766,4345704340996
25,29/2/2016,Hinstock,4,$17998.890625,4041371898815541
26,14/12/2006,Falcon,5,$8802.660156,4041594854864019
27,7/10/2008,Duerden,1,$15327.469727,4017959225555317
28,16/10/2007,Bamb,2,$9096.709961,4017955134796
29,14/1/2014,Towl,3,$17609.320313,4041590923603
30,26/6/2022,Lowdyane,1,$6992.229980,4449789041568
31,29/8/2013,Hoffner,1,$16829.009766,4028489151240483
32,15/8/2005,Darcey,5,$20136.369141,4990762214045
33,14/4/2004,Dunsire,4,$3789.560059,4041372020819518
34,4/2/2002,Popworth,1,$17781.169922,4041374021921
35,26/1/2005,Penkethman,5,$4725.970215,4351743247620885
36,3/12/2006,Bedow,4,$21196.439453,4707491713950136
37,29/10/2005,Curley,2,$5473.410156,4041591027438
38,2/5/2014,Salvador,3,$17560.130859,4041377126074520
39,17/6/2003,Parfett,3,$20800.099609,4654342262294538
40,2/12/2002,Glasby,2,$13232.610352,4041371360571689
41,19/12/2003,Falcon,3,$8986.049805,4771522868226517
42,17/5/2007,Windress,4,$10634.339844,4041593428162
43,24/8/2011,Shannon,5,$10926.830078,4017957807407
44,4/3/2021,Hampton,3,$8607.580078,4017956281861506
45,3/9/2005,Fookes,1,$18911.119141,4320632239233088
46,28/2/2017,Kief,2,$8528.919922,4017951364439
47,23/4/2010,Prebble,3,$20406.699219,4890244268967
48,23/8/2019,Geaney,4,$12628.900391,4041377998741701
49,17/2/2004,Shower,3,$6676.049805,4041591801383119
50,11/1/2021,Jarman,4,$12241.250000,4947818191751679
51,11/11/2001,Swigger,1,$12352.639648,4041376701694
52,14/7/2004,Durnian,1,$7895.439941,4041372092676
53,9/4/2013,Jaques,4,$8393.650391,4017956301493
54,9/1/2007,Mccluskey,5,$15615.389648,4017953030653235
55,8/4/2016,Bresson,5,$19370.259766,4041377207527
56,12/6/2004,Krolman,3,$12086.219727,4041590830916360
57,5/9/2022,Weller,4,$14487.450195,4017953253981941
58,22/6/2002,Paskerful,4,$2866.360107,4017959822768
59,19/2/2019,Lynskey,4,$2666.080078,4041376787297
